kernel,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_clf__estimator__criterion,param_clf__estimator__max_depth,param_clf__estimator__max_features,param_clf__estimator__n_estimators,params,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,process,model
"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)_entropy_8_auto_500",2.5256583213806154,0.5038108005286976,0.2453707218170166,0.06341184049919701,"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)",entropy,8,auto,500,"{'clf__estimator': RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 8, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9873417721518987,0.9876543209876543,1.0,0.9869992186279106,0.014611946763562948,1,1.0,0.972972972972973,0.9864864864864865,0.9864864864864865,1.0,0.9891891891891891,0.010112587531821442,1,1.0,0.96,0.975,0.975609756097561,1.0,0.9821219512195121,0.015631768016657353,1,norm_stops_text,rf
"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)_gini_8_sqrt_200",1.274402904510498,0.1006745977477344,0.15353426933288575,0.04784093483126022,"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)",gini,8,sqrt,200,"{'clf__estimator': RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 8, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 200}",1.0,0.96,0.9873417721518987,0.9876543209876543,1.0,0.9869992186279106,0.014611946763562948,1,1.0,0.972972972972973,0.9864864864864865,0.9864864864864865,1.0,0.9891891891891891,0.010112587531821442,1,1.0,0.96,0.975,0.975609756097561,1.0,0.9821219512195121,0.015631768016657353,1,norm_stops_text,rf
"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)_gini_7_sqrt_500",2.2777045249938963,0.4383011632218186,0.22684335708618164,0.06995492095849873,"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)",gini,7,sqrt,500,"{'clf__estimator': RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 7, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9873417721518987,0.975,1.0,0.9844683544303798,0.015356240827448141,3,1.0,0.972972972972973,0.9864864864864865,0.972972972972973,1.0,0.9864864864864865,0.012086853932431271,3,1.0,0.96,0.975,0.9512195121951219,1.0,0.9772439024390245,0.02007653411054139,3,norm_stops_text,rf
"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)_gini_8_auto_500",2.400708246231079,0.5036233810025501,0.20373263359069824,0.06602823833595932,"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)",gini,8,auto,500,"{'clf__estimator': RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 8, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9743589743589743,0.9876543209876543,1.0,0.9844026590693258,0.015449872269123621,4,1.0,0.972972972972973,0.972972972972973,0.9864864864864865,1.0,0.9864864864864865,0.012086853932431271,3,1.0,0.96,0.95,0.975609756097561,1.0,0.9771219512195122,0.020385575378725863,5,norm_stops_text,rf
"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)_gini_6_sqrt_500",2.1691494941711427,0.3765114468160837,0.24580039978027343,0.11241956653821476,"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)",gini,6,sqrt,500,"{'clf__estimator': RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 6, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9743589743589743,0.9876543209876543,1.0,0.9844026590693258,0.015449872269123621,4,1.0,0.972972972972973,0.972972972972973,0.9864864864864865,1.0,0.9864864864864865,0.012086853932431271,3,1.0,0.96,0.95,0.975609756097561,1.0,0.9771219512195122,0.020385575378725863,5,norm_stops_text,rf
"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)_gini_8_sqrt_500",2.286522912979126,0.4306435262446777,0.21418042182922364,0.06199010176371246,"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)",gini,8,sqrt,500,"{'clf__estimator': RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 8, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9743589743589743,0.9876543209876543,1.0,0.9844026590693258,0.015449872269123621,4,1.0,0.972972972972973,0.972972972972973,0.9864864864864865,1.0,0.9864864864864865,0.012086853932431271,3,1.0,0.96,0.95,0.975609756097561,1.0,0.9771219512195122,0.020385575378725863,5,norm_stops_text,rf
"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)_entropy_7_sqrt_500",2.3887467861175535,0.49519787409342864,0.23041887283325196,0.07239178617790791,"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)",entropy,7,sqrt,500,"{'clf__estimator': RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 7, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9743589743589743,0.9876543209876543,1.0,0.9844026590693258,0.015449872269123621,4,1.0,0.972972972972973,0.972972972972973,0.9864864864864865,1.0,0.9864864864864865,0.012086853932431271,3,1.0,0.96,0.95,0.975609756097561,1.0,0.9771219512195122,0.020385575378725863,5,norm_stops_text,rf
"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)_entropy_8_sqrt_500",2.3777610778808596,0.43190147195348294,0.17756576538085939,0.02511635088014936,"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)",entropy,8,sqrt,500,"{'clf__estimator': RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 8, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9743589743589743,0.9876543209876543,1.0,0.9844026590693258,0.015449872269123621,4,1.0,0.972972972972973,0.972972972972973,0.9864864864864865,1.0,0.9864864864864865,0.012086853932431271,3,1.0,0.96,0.95,0.975609756097561,1.0,0.9771219512195122,0.020385575378725863,5,norm_stops_text,rf
"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)_entropy_6_sqrt_500",2.1742953300476073,0.5944992053328993,0.1948460102081299,0.04418122955266748,"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)",entropy,6,sqrt,500,"{'clf__estimator': RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 6, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9743589743589743,0.9876543209876543,1.0,0.9844026590693258,0.015449872269123621,4,1.0,0.972972972972973,0.972972972972973,0.9864864864864865,1.0,0.9864864864864865,0.012086853932431271,3,1.0,0.96,0.95,0.975609756097561,1.0,0.9771219512195122,0.020385575378725863,5,norm_stops_text,rf
"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)_gini_7_auto_200",1.157370138168335,0.2532835992800232,0.1318206787109375,0.03898114916697598,"RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200)",gini,7,auto,200,"{'clf__estimator': RandomForestClassifier(max_depth=8, max_features='sqrt', n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 7, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 200}",1.0,0.96,0.9873417721518987,0.975,0.988235294117647,0.982115413253909,0.013596667395803102,10,1.0,0.972972972972973,0.9864864864864865,0.972972972972973,0.9864864864864865,0.9837837837837838,0.010112587531821444,10,1.0,0.96,0.975,0.9512195121951219,1.0,0.9772439024390245,0.02007653411054139,3,norm_stops_text,rf
