kernel,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_clf__estimator__criterion,param_clf__estimator__max_depth,param_clf__estimator__max_features,param_clf__estimator__n_estimators,params,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,process,model
"RandomForestClassifier(max_depth=4, n_estimators=200)_gini_4_auto_200",1.0356720447540284,0.28368697625602096,0.09341578483581543,0.02888005709273758,"RandomForestClassifier(max_depth=4, n_estimators=200)",gini,4,auto,200,"{'clf__estimator': RandomForestClassifier(max_depth=4, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 4, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 200}",1.0,0.96,0.9873417721518987,0.9876543209876543,1.0,0.9869992186279106,0.014611946763562948,1,1.0,0.972972972972973,0.9864864864864865,0.9864864864864865,1.0,0.9891891891891891,0.010112587531821442,1,1.0,0.96,0.975,0.975609756097561,1.0,0.9821219512195121,0.015631768016657353,1,norm_text,rf
"RandomForestClassifier(max_depth=4, n_estimators=200)_entropy_5_sqrt_500",1.5904556274414063,0.3284782910037089,0.16507577896118164,0.040155260035619644,"RandomForestClassifier(max_depth=4, n_estimators=200)",entropy,5,sqrt,500,"{'clf__estimator': RandomForestClassifier(max_depth=4, n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 5, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9873417721518987,0.9876543209876543,1.0,0.9869992186279106,0.014611946763562948,1,1.0,0.972972972972973,0.9864864864864865,0.9864864864864865,1.0,0.9891891891891891,0.010112587531821442,1,1.0,0.96,0.975,0.975609756097561,1.0,0.9821219512195121,0.015631768016657353,1,norm_text,rf
"RandomForestClassifier(max_depth=4, n_estimators=200)_entropy_5_sqrt_200",0.7932418346405029,0.08392266896594727,0.07311186790466309,0.023750240712303517,"RandomForestClassifier(max_depth=4, n_estimators=200)",entropy,5,sqrt,200,"{'clf__estimator': RandomForestClassifier(max_depth=4, n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 5, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 200}",1.0,0.96,0.9873417721518987,0.9876543209876543,1.0,0.9869992186279106,0.014611946763562948,1,1.0,0.972972972972973,0.9864864864864865,0.9864864864864865,1.0,0.9891891891891891,0.010112587531821442,1,1.0,0.96,0.975,0.975609756097561,1.0,0.9821219512195121,0.015631768016657353,1,norm_text,rf
"RandomForestClassifier(max_depth=4, n_estimators=200)_entropy_5_auto_200",0.7333914756774902,0.17226159806861446,0.10631747245788574,0.018643105277698357,"RandomForestClassifier(max_depth=4, n_estimators=200)",entropy,5,auto,200,"{'clf__estimator': RandomForestClassifier(max_depth=4, n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 5, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 200}",1.0,0.96,0.9873417721518987,0.9876543209876543,1.0,0.9869992186279106,0.014611946763562948,1,1.0,0.972972972972973,0.9864864864864865,0.9864864864864865,1.0,0.9891891891891891,0.010112587531821442,1,1.0,0.96,0.975,0.975609756097561,1.0,0.9821219512195121,0.015631768016657353,1,norm_text,rf
"RandomForestClassifier(max_depth=4, n_estimators=200)_gini_8_sqrt_500",1.7657325744628907,0.10852321848952563,0.15442991256713867,0.029129495742727766,"RandomForestClassifier(max_depth=4, n_estimators=200)",gini,8,sqrt,500,"{'clf__estimator': RandomForestClassifier(max_depth=4, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 8, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9873417721518987,0.9876543209876543,1.0,0.9869992186279106,0.014611946763562948,1,1.0,0.972972972972973,0.9864864864864865,0.9864864864864865,1.0,0.9891891891891891,0.010112587531821442,1,1.0,0.96,0.975,0.975609756097561,1.0,0.9821219512195121,0.015631768016657353,1,norm_text,rf
"RandomForestClassifier(max_depth=4, n_estimators=200)_gini_8_auto_500",1.6199700355529785,0.3581741001039777,0.14401655197143554,0.042301874740915735,"RandomForestClassifier(max_depth=4, n_estimators=200)",gini,8,auto,500,"{'clf__estimator': RandomForestClassifier(max_depth=4, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 8, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9873417721518987,0.9876543209876543,1.0,0.9869992186279106,0.014611946763562948,1,1.0,0.972972972972973,0.9864864864864865,0.9864864864864865,1.0,0.9891891891891891,0.010112587531821442,1,1.0,0.96,0.975,0.975609756097561,1.0,0.9821219512195121,0.015631768016657353,1,norm_text,rf
"RandomForestClassifier(max_depth=4, n_estimators=200)_gini_8_auto_200",0.7565008640289307,0.24659267901684156,0.07131094932556152,0.01896313467912832,"RandomForestClassifier(max_depth=4, n_estimators=200)",gini,8,auto,200,"{'clf__estimator': RandomForestClassifier(max_depth=4, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 8, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 200}",1.0,0.96,0.9873417721518987,0.9876543209876543,1.0,0.9869992186279106,0.014611946763562948,1,1.0,0.972972972972973,0.9864864864864865,0.9864864864864865,1.0,0.9891891891891891,0.010112587531821442,1,1.0,0.96,0.975,0.975609756097561,1.0,0.9821219512195121,0.015631768016657353,1,norm_text,rf
"RandomForestClassifier(max_depth=4, n_estimators=200)_entropy_7_auto_500",1.512352418899536,0.2923085933049407,0.14343528747558593,0.037486223347962075,"RandomForestClassifier(max_depth=4, n_estimators=200)",entropy,7,auto,500,"{'clf__estimator': RandomForestClassifier(max_depth=4, n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 7, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9873417721518987,0.9876543209876543,1.0,0.9869992186279106,0.014611946763562948,1,1.0,0.972972972972973,0.9864864864864865,0.9864864864864865,1.0,0.9891891891891891,0.010112587531821442,1,1.0,0.96,0.975,0.975609756097561,1.0,0.9821219512195121,0.015631768016657353,1,norm_text,rf
"RandomForestClassifier(max_depth=4, n_estimators=200)_entropy_7_sqrt_200",0.8336155891418457,0.11740085145996078,0.08903865814208985,0.036198508491012665,"RandomForestClassifier(max_depth=4, n_estimators=200)",entropy,7,sqrt,200,"{'clf__estimator': RandomForestClassifier(max_depth=4, n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 7, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 200}",1.0,0.96,0.9873417721518987,0.9876543209876543,1.0,0.9869992186279106,0.014611946763562948,1,1.0,0.972972972972973,0.9864864864864865,0.9864864864864865,1.0,0.9891891891891891,0.010112587531821442,1,1.0,0.96,0.975,0.975609756097561,1.0,0.9821219512195121,0.015631768016657353,1,norm_text,rf
"RandomForestClassifier(max_depth=4, n_estimators=200)_gini_6_sqrt_500",1.7076398372650146,0.2568954061867559,0.16164979934692383,0.047835132387517854,"RandomForestClassifier(max_depth=4, n_estimators=200)",gini,6,sqrt,500,"{'clf__estimator': RandomForestClassifier(max_depth=4, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 6, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9873417721518987,0.9876543209876543,1.0,0.9869992186279106,0.014611946763562948,1,1.0,0.972972972972973,0.9864864864864865,0.9864864864864865,1.0,0.9891891891891891,0.010112587531821442,1,1.0,0.96,0.975,0.975609756097561,1.0,0.9821219512195121,0.015631768016657353,1,norm_text,rf
