kernel,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_clf__estimator__criterion,param_clf__estimator__max_depth,param_clf__estimator__max_features,param_clf__estimator__n_estimators,params,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,process,model
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_entropy_6_auto_200",1.2702534675598145,0.26021210881957507,0.18253540992736816,0.07620330102614964,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",entropy,6,auto,200,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 6, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 200}",1.0,0.96,0.9873417721518987,0.975,1.0,0.9844683544303798,0.015356240827448141,1,1.0,0.972972972972973,0.9864864864864865,0.972972972972973,1.0,0.9864864864864865,0.012086853932431271,1,1.0,0.96,0.975,0.9512195121951219,1.0,0.9772439024390245,0.02007653411054139,1,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_entropy_8_auto_200",1.4576735019683837,0.15952847661680353,0.19948186874389648,0.034860519108808066,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",entropy,8,auto,200,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 8, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 200}",1.0,0.96,0.9873417721518987,0.975,1.0,0.9844683544303798,0.015356240827448141,1,1.0,0.972972972972973,0.9864864864864865,0.972972972972973,1.0,0.9864864864864865,0.012086853932431271,1,1.0,0.96,0.975,0.9512195121951219,1.0,0.9772439024390245,0.02007653411054139,1,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_gini_8_sqrt_200",1.4169074535369872,0.09988234053485572,0.18380436897277833,0.03829427620759015,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",gini,8,sqrt,200,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 8, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 200}",1.0,0.96,0.9743589743589743,0.9876543209876543,1.0,0.9844026590693258,0.015449872269123621,3,1.0,0.972972972972973,0.972972972972973,0.9864864864864865,1.0,0.9864864864864865,0.012086853932431271,1,1.0,0.96,0.95,0.975609756097561,1.0,0.9771219512195122,0.020385575378725863,3,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_entropy_7_auto_500",2.3551465034484864,0.6919600522146057,0.23843579292297362,0.07090034449570826,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",entropy,7,auto,500,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 7, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9743589743589743,0.9876543209876543,1.0,0.9844026590693258,0.015449872269123621,3,1.0,0.972972972972973,0.972972972972973,0.9864864864864865,1.0,0.9864864864864865,0.012086853932431271,1,1.0,0.96,0.95,0.975609756097561,1.0,0.9771219512195122,0.020385575378725863,3,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_gini_7_auto_500",2.186459255218506,0.6049777780197778,0.26042490005493163,0.09288497360485724,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",gini,7,auto,500,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 7, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9743589743589743,0.9876543209876543,1.0,0.9844026590693258,0.015449872269123621,3,1.0,0.972972972972973,0.972972972972973,0.9864864864864865,1.0,0.9864864864864865,0.012086853932431271,1,1.0,0.96,0.95,0.975609756097561,1.0,0.9771219512195122,0.020385575378725863,3,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_entropy_7_sqrt_500",2.3949320316314697,0.6869443977926086,0.2335883140563965,0.0844315018078777,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",entropy,7,sqrt,500,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 7, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9743589743589743,0.9876543209876543,1.0,0.9844026590693258,0.015449872269123621,3,1.0,0.972972972972973,0.972972972972973,0.9864864864864865,1.0,0.9864864864864865,0.012086853932431271,1,1.0,0.96,0.95,0.975609756097561,1.0,0.9771219512195122,0.020385575378725863,3,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_gini_6_sqrt_500",2.088884210586548,0.49232023520905643,0.2574209213256836,0.07076257614666101,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",gini,6,sqrt,500,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 6, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9743589743589743,0.9876543209876543,1.0,0.9844026590693258,0.015449872269123621,3,1.0,0.972972972972973,0.972972972972973,0.9864864864864865,1.0,0.9864864864864865,0.012086853932431271,1,1.0,0.96,0.95,0.975609756097561,1.0,0.9771219512195122,0.020385575378725863,3,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_gini_7_sqrt_200",1.2817712783813477,0.29034461938111844,0.19312624931335448,0.02234229943043125,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",gini,7,sqrt,200,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'gini', 'clf__estimator__max_depth': 7, 'clf__estimator__max_features': 'sqrt', 'clf__estimator__n_estimators': 200}",1.0,0.96,0.9743589743589743,0.9876543209876543,1.0,0.9844026590693258,0.015449872269123621,3,1.0,0.972972972972973,0.972972972972973,0.9864864864864865,1.0,0.9864864864864865,0.012086853932431271,1,1.0,0.96,0.95,0.975609756097561,1.0,0.9771219512195122,0.020385575378725863,3,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_entropy_8_auto_500",2.278288221359253,0.5600148592397348,0.19310345649719238,0.04112436508591109,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",entropy,8,auto,500,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 8, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 500}",1.0,0.96,0.9743589743589743,0.9876543209876543,0.988235294117647,0.9820497178928551,0.013691041976909239,9,1.0,0.972972972972973,0.972972972972973,0.9864864864864865,0.9864864864864865,0.9837837837837838,0.010112587531821444,9,1.0,0.96,0.95,0.975609756097561,1.0,0.9771219512195122,0.020385575378725863,3,text,rf
"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)_entropy_7_auto_200",1.2658956050872803,0.10797198663602951,0.19228825569152833,0.05523185403092906,"RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200)",entropy,7,auto,200,"{'clf__estimator': RandomForestClassifier(criterion='entropy', max_depth=6, n_estimators=200), 'clf__estimator__criterion': 'entropy', 'clf__estimator__max_depth': 7, 'clf__estimator__max_features': 'auto', 'clf__estimator__n_estimators': 200}",1.0,0.96,0.9743589743589743,0.9876543209876543,0.988235294117647,0.9820497178928551,0.013691041976909239,9,1.0,0.972972972972973,0.972972972972973,0.9864864864864865,0.9864864864864865,0.9837837837837838,0.010112587531821444,9,1.0,0.96,0.95,0.975609756097561,1.0,0.9771219512195122,0.020385575378725863,3,text,rf
